事業所名,区,所在地,営業時間,TEL,PCR検査等,抗原定性検査,備考
タマナ薬局,練馬区,練馬区南大泉5-31-14,"月火木金　14:00〜15:00
水　9:00〜18:00
土日祝　休み",03-6904-4941,False,True,メールアドレスなしで受検可能
オリーブ薬局,墨田区,墨田区太平3-10-5　淡海ビル1階,"月〜木　13:00〜15:00
金〜日（祝含む）　休み",03-5637-9123,True,True,"メールアドレスなしで受検可能、
事前に検査可能か要連絡"
クオール薬局　調布店,調布市,調布市小島町1丁目35-13,"金　13:00〜14:30
月火水木土日祝　休み",042-426-1193,False,True,メールアドレスなしで受検可能（電話連絡を了承の場合）
くみ薬局,文京区,文京区小石川三丁目29番1号1階,"月〜金　9:00〜19:00
土　9:00〜13:30
日祝　休み",03-5684-3345,False,True,メールアドレスなしで受検可能
寿々薬局,文京区,文京区本駒込1-1-8,"月〜金　9:00〜19:00
土　9:00〜13:30
日祝　休み",03-5689-4644,False,True,メールアドレスなしで受検可能
カンジュドー薬局 下高井戸店,世田谷区,世田谷区赤堤4-46-13,"水　14:00〜15:00
月火木金土日祝　休み",03-3328-4193,False,True,
イムノファーマシー雑色薬局,大田区,大田区仲六郷2-38-5,"水　13:00〜14:00
月火木金土日祝　休み",03-5710-2656,False,True,メールアドレスなしで受検可能
つくし薬局  大和町店,中野区,中野区大和町1-46-15,"月水木　14:00〜15:00
火金土日祝　休み",03-5327-3739,False,True,メールアドレスなしで受検可能
ルナ自由が丘薬局,目黒区,目黒区緑が丘2-24-15　コリーヌ自由が丘EST　１A,"水　14:00〜15:00
月火木金土日祝　休み",03-6421-3170,False,True,メールアドレスなしで受検可能
クオール薬局　小山台店,品川区,品川区小山3-5-6 ロジマン武蔵小山1F,"月〜金　13:30〜15:00
土日祝　休み",03-5724-6010,False,True,メールアドレスなしで受検可能
グリーン薬局,武蔵野市,武蔵野市境南町3-5-4　坂田ビル1階,"木　14:00〜16:00
月火水金土日祝　休み",0422-39-5310,False,True,メールアドレスなしで受検可能
クオール薬局京急蒲田駅前店,大田区,大田区蒲田4-10-14あすとウィズ1階　107号室,"火木　13:00〜15:00
月水金土日祝　休み",03-6424-4189,False,True,メールアドレスなしで受検可能
みどり薬局千ヶ瀬,青梅市,青梅市千ケ瀬町6-784-1,"月火水金　9:00〜18:30
木　9:00〜17:00
土　9:00〜12:30
日祝　休み",0428-20-8061,False,True,
みどり薬局武蔵村山,武蔵村山市,武蔵村山市榎2-84-6,"月火木金　9:00〜19:00
水土　9:00〜17:00
日祝　休み",042-590-7622,False,True,
みどり薬局,あきる野市,あきる野市引田92-4,"月〜金　8:30〜18:00
土祝　8:30〜12:00
日　休み",042-533-3009,False,True,
みどり薬局五日市,あきる野市,あきる野市五日市72,"月〜土　9:00〜18:30
日祝　休み",042-595-2192,False,True,
みどり薬局東秋留,あきる野市,あきる野市二宮1021-7,"月火木金土　9:00〜18:30
水　9:00〜17:00
日　9:00〜12:30
祝　休み",042-532-1661,False,True,
みどり薬局日の出,西多摩郡日の出町,西多摩郡日の出町大久野112,"月水金　9:00〜19:00
火木　9:00〜18:30
土　9:00〜18:00
日祝　休み",042-597-6085,False,True,
つなぐ薬局足立,足立区,足立区梅島2-11-6モリタコーポ東側1階,"月〜土　10:00〜17:00
日祝　休み",03-4285-6717,False,True,メールアドレスなしで受検可能
クオール薬局神宮前店,渋谷区,渋谷区神宮前6-8-6　OSDビル1階,"月火金土　13:00〜15:00
水木日祝　休み",03-3797-0075,False,True,メールアドレスなしで受検可能
エール薬局大井町店,品川区,品川区東大井5-14-15　大井町MCビル1階,"水　10:00〜16:00
月火木金土日祝　休み",03-6712-4066,True,True,
クオール薬局高輪店,港区,港区高輪3-10-10,"月火金　16:00〜18:00
水木土日祝　休",03-5447-6289,False,True,※水木土の検査は要相談。詳細はお電話にてご確認ください。
大森薬局,大田区,大田区大森中1-22-1　サンパレス1階,"月〜金　9:00〜17:00
土　9:00〜12:00
日祝　休み",03-3298-4901,False,True,メールアドレスなしで受検可能
ミライのくすり屋さん,町田市,町田市つくし野1-22-1つくし野プラザA106,"月〜金　9:00〜18:00
土日祝　休み",042-850-7740,True,True,※メールアドレスなしで受検可能
一般社団法人 ウェルケア　Aiメディカルクリニック銀座,中央区,中央区銀座七丁目13番12号サクセス銀座第7ビル11階,"月〜木（祝含む）　10:00〜17:00
金土日　休み",03-6260-6120,True,True,
クオール薬局下北沢店,世田谷区,世田谷区北沢2-20-14　マツヤ本社ビル１階,"月〜金　13:30〜14:30
土日祝　休み",03-3419-0771,False,True,
クオール薬局　中板橋店,板橋区,板橋区中板橋２０番１−１０３号　モダ・ビエント中板橋プラシア,"月火水金土　10:00〜11:00
木日祝　休み",03-3944-8999,False,True,メールアドレスなしで受験可能
クオール薬局狛江２号店,狛江市,狛江市東和泉1-18-1,"月〜土　9:00〜19:00
日祝　休み",03-5761-2218,False,True,メールアドレスなしで受検可能
めじろ台南調剤薬局,八王子市,八王子市めじろ台二丁目19番地9,"月火水金　9:00〜18:00
木　9:00〜17:00
土　9:00〜13:00
日祝　休み",042-663-9660,False,True,
なみえファーマシー,武蔵野市,武蔵野市吉祥寺北町1-1-2 トラッセルズ吉祥寺B,"月火水金　9:00〜18:00
木　9:00〜16:00
土　9:00〜13:00
日祝　休み",0422-29-7011,False,True,
清水薬局 多摩平ファーマシー,日野市,日野市多摩平1-4-19,"月〜金　9:00〜18:00
土　9:00〜12:00
日祝　休み",042-514-8457,False,True,
清水薬局 多摩平二丁目店,日野市,日野市多摩平2-5-3 豊田パールハイツ1階,"月火水金　9:00〜17:30
木　9:00〜16:00
土　9:00〜11:30
日祝　休み",042-589-0522,False,True,
清水薬局 本店,日野市,日野市多摩平3-12-3 福博ビル1階,"月〜金　9:00〜18:00
土　9:00〜12:00
日祝　休み",042-582-3088,False,True,
清水薬局多摩平店,日野市,日野市多摩平1-4-7　佐々木ビル1階,"月〜金　9:00〜18:00
土　9:00〜12:00
日祝　休み",042-586-9432,False,True,
コトブキ調剤薬局お茶の水店,千代田区,千代田区神田駿河台二丁目10番地1,"月〜金　9:00〜13:00
土日祝　休み",03-3291-0380,True,False,メールアドレスなしで受検可能
阪神調剤薬局エスティ薬局店,北区,北区浮間3-1-52　リレント北赤羽1階,"月〜金　11:00〜14:00
土日祝　休み",03-3966-5577,True,False,メールアドレスなしで受検可能
阪神調剤薬局六ツ木店,足立区,足立区六木1-4-16,"月〜金　13:00〜16:00
土日祝　休み",03-5682-3638,True,False,メールアドレスなしで受検可能
クオール薬局　府中若松町店,府中市,府中市若松町3-35-3,"木　13:00〜14:30
月火水金土日祝　休み",042-340-5101,False,True,メールアドレスなしで受検可能
クオール薬局シティテラスモール金町店,葛飾区,葛飾区新宿六丁目2番15号　シティテラスモール金町,"月〜金　14:00〜15:00
土日祝　休み",03-6231-3189,False,True,メールアドレスなしで受検可能
スピカクリニック,港区,港区西麻布1丁目11-6ホテル＆レジデンス六本木1008号,"月〜土　10:00〜19:00
日祝　予約があった場合のみ対応",03-6555-2814,True,True,メールアドレスなしで受検可能
湘南美容クリニック上野院,台東区,台東区上野1丁目20-11 上野鈴乃屋本店ビル8階,"月〜日（祝含む）　10:00〜19:00
無休",050-5865-5261,True,False,メールアドレスなしで受検可能
湘南美容クリニック池袋西口院,豊島区,豊島区池袋2-6-1 KDX池袋ビル3階,"月〜日（祝含む）　9:00〜18:00
無休",050-5865-5201,True,False,メールアドレスなしで受検可能
湘南美容クリニックRegno銀座院,中央区,中央区銀座5-10-2 GINZA MISS PARIS 3階,"月〜日（祝含む）　9:00〜18:00
無休",050-5576-1201,True,False,
湘南美容クリニック六本木院,港区,港区六本木6-1-24 ラピロス六本木8階,"月〜日（祝含む）　10:00〜19:00
無休",050-5576-1451,True,False,
湘南美容クリニック新橋銀座口院,港区,港区新橋1-12-9 新橋プレイス9階,"月〜日（祝含む）　10:00〜19:00
無休",050-5576-1151,True,False,
湘南美容クリニック赤坂見附院,港区,港区赤坂3-21-13 キーストーン赤坂ビル6階,"月火水金土日祝　10:00〜19:00
木　休み",050-5576-1291,True,False,
湘南美容クリニック高田馬場院,新宿区,新宿区高田馬場2-13-2プライムゲート高田馬場5階,"月火水金土日祝　10:00〜19:00
木　休み",050-5576-1381,True,False,
湘南美容クリニック秋葉原院,台東区,台東区秋葉原1-1 秋葉原ビジネスセンター6階,"月〜日（祝含む）　10:00〜19:00
無休",050-5865-5881,True,False,メールアドレスなしで受検可能
湘南美容クリニック豊洲院,江東区,江東区豊洲5-6-36 豊洲プライムスクエア5階,"月〜日（祝含む）　10:00〜19:00
無休",050-5576-1571,True,False,メールアドレスなしで受検可能
湘南美容クリニック恵比寿院,渋谷区,渋谷区恵比寿4-3-14 恵比寿SSビル4階,"月〜日（祝含む）　10:00〜19:00
無休",050-5576-1651,True,False,メールアドレスなしで受検可能
湘南美容クリニック表参道院,港区,港区北青山3丁目11-7  AOビル7階,"月〜日（祝含む）　9:00〜18:00
無休",050-5865-5211,True,False,メールアドレスなしで受検可能
湘南美容クリニック東京蒲田院,大田区,大田区蒲田5-17-2 ヒューリック蒲田ビル8F,"月〜日（祝含む）　9:00〜18:00
無休",050-5865-5811,True,False,メールアドレスなしで受検可能
こはる薬局,立川市,立川市若葉町4-1-1　エクセルＭ101,"月〜土　9:00〜12:00
日祝　休み",042-537-7092,False,True,
はる薬局,立川市,立川市若葉町3-2-2,"月〜土　8:00〜12:00
日祝　休み",042-536-2671,False,True,
学園薬局小平団地店,小平市,小平市喜平町3-2-5-104,"月〜金　10:00〜16:00
土日祝　休み",042-321-4057,False,True,メールアドレス無しで受検可能
グレース薬局,世田谷区,世田谷区南烏山六丁目３番９号ミール千歳烏山１０４号室,"月火水金
（予約制）9:30〜13:00/14:00〜19:30
（予約不要）13:00〜14:00/19:30〜20:30
木
（予約制）9:30〜13:00/15:00〜18:30
（予約不要）13:00〜15:00/18:30〜19:30
土　
（予約制）9:00〜13:00
（予約不要）13:00〜14:00
日祝　休み",03-6382-9941,False,True,
メディスンショップあじさい薬局,杉並区,杉並区高円寺南二丁目４５番１６号,"月火水金
（予約制）9:00〜13:00/15:00〜19:00
（予約不要）13:00〜15:00/19:00〜20:00
木
（予約制）9:00〜13:00/15:00〜17:00
（予約不要）13:00〜15:00/17:00〜18:00
土　
（予約制）9:00〜13:00
（予約不要）13:00〜14:00
日祝　休み",03-5929-8722,False,True,
メディスンショップりぼん薬局,杉並区,杉並区西荻北二丁目３番９号グランピア西荻窪201号室,"月〜金
（予約制）9:00〜13:00/15:00〜19:00
（予約不要）13:00〜15:00/19:00〜20:00
土
（予約制）9:00〜13:00
（予約不要）13:00〜14:00
日祝　休み",03-5303-9661,False,True,
クオール薬局大崎店,品川区,品川区大崎1-6-5　大崎ﾆｭｰｼﾃｨ5号館2階,"木　13:30〜15:00
土　15:00〜17:00
月火水金日祝　休み",03-5759-5589,False,True,"受検の際は電話番号に問い合わせの上ご来店ください
メールアドレスなしで受検可能"
クオール薬局丸の内店,千代田区,千代田区大手町2丁目2番1号,"月木　9:30〜10:30
火水金土日祝　休み",03-6214-0089,False,True,
さつき薬局　めじろ台店,八王子市,八王子市めじろ台２−１−１,"月〜金　14:00〜18:00
土日祝　休み",042-629-1754,False,True,
さつき薬局　北野店,八王子市,八王子市長沼町１３０７−１１,"月〜金　14:00〜18:00
土日祝　休み",042-631-3497,False,True,
さつき薬局　椚田店,八王子市,八王子市椚田町５５２−９グリーンハウス大巻,"月〜金　14:00〜18:00
土日祝　休み",042-673-4353,False,True,
さつき薬局　楢原店,八王子市,八王子市楢原町１４８２−２,"月〜金　14:00〜18:00
土日祝　休み",042-623-8545,False,True,
さつき薬局　横川店,八王子市,八王子市横川町６９７−２,"月〜金　14:00〜18:00
土日祝　休み",042-686-2796,False,True,
さつき薬局　深大寺北店,調布市,調布市深大寺北町５−１５−３,"月〜金　14:00〜18:00
土日祝　休み",042-483-0305,False,True,
さつき薬局　秋川店,あきる野市,あきる野市秋川６−２−５,"月〜金　14:00〜18:00
土日祝　休み",042-558-8416,False,True,
フラワー薬局貫井店,練馬区,練馬区貫井3-2-8富士見台駅前ビル1階店舗,"月〜金　14:00〜15:00
土日祝　休み",03-5848-9767,False,True,メールアドレスなしで受検可能
フラワー薬局　東中野店,中野区,中野区東中野５−１−１ユニゾンモール３F,"月〜金　14:00〜15:00
土日祝　休み",03-5332-9577,False,True,メールアドレスなしで受検可能
クオール薬局　柿の木坂店,目黒区,目黒区柿の木坂1-30-7　アトゥレ柿の木坂101,"月〜金　14:00〜15:00
土日祝　休み",03-5731-8189,False,True,メールアドレスなしで受検可能
クオール薬局石神井店,練馬区,練馬区石神井町5-1-9ハイライフ石神井1階,"月〜金　9:00〜12:00
土日祝　休み",03-5393-2600,False,True,メールアドレスなしで受検可能
クオール薬局　駒込店,豊島区,豊島区駒込三丁目6番15号　モラダ駒込1階,"月〜金　14:00〜15:00
土日祝　休み",03-3576-1250,False,True,メールアドレスなしで受検可能
クオール薬局　高幡店,日野市,日野市高幡326-1　第3滝瀬ビル1階,"月　13:00〜14:30
火〜日（祝含む）　休み",042-593-6126,False,True,メールアドレスなしで受検可能
薬局エスエルファーマシー,中央区,中央区明石町8-1 聖路加ガーデン 聖路加タワー2階,"金　16:00〜20:00
月火水木土日祝　休み",03-3542-6001,False,True,メールアドレスなしで受検可能
青空薬局,日野市,日野市高幡328-1,"火　13:00〜14:30
月水木金土日祝　休み",042-599-0334,False,True,メールアドレスなしで受検可能
みずほ薬局花小金井店,小平市,小平市花小金井南町1-18-25　NR花小金井駅前1階,"月〜金　9:00〜19:00
土　9:00〜16:00
日祝　休み",042-451-9317,False,True,メールアドレスなしで受検可能
クオール薬局恵比寿店,目黒区,目黒区三田1-11-1Ｙ・Ｔタナカビル1階,"月水金　16:00〜17:00
火木土日祝　休み",03-5721-8541,False,True,メールアドレスなしで受検可能
クオール薬局読売新聞東京本社店,千代田区,千代田区大手町1-7-1　読売新聞ﾋﾞﾙ3階,"月〜金　13:00〜16:00
土日祝　休み",03-3516-9089,False,True,メールアドレスなしで受検可能
クオール薬局　竹の塚店,足立区,足立区竹の塚5-11-6,"木　9:00〜10:00
月火水金土日祝　休み",03-5242-9389,False,True,"※ドライブスルー方式のみで実施
※メールアドレスなしでも受検可能"
クオール薬局金森店,町田市,町田市金森東3-12-30,"月火木金　13:00〜15:30
水土日祝　休み",042-788-3538,False,True,メールアドレスなしで受検可能
QOLサポートクオール薬局田町店,港区,港区芝5-27-6 泉田町ビル1F,"月〜水　12:00〜16:00
木金土日祝　休み",03-6435-3089,False,True,メールアドレスなしで受検可能
クオール薬局町田旭町店,町田市,町田市旭町1-15-21　町田ﾘﾘｴﾝﾊｲﾑ102,"水（祝含む）　14:00〜16:00
月火木金土日　休み",042-709-0920,False,True,メールアドレスなしで受検可能
麻布十番PCR検査場,港区,港区南麻布1-6-4 R-stay AZABU 1/2A号室,"月〜日（祝含む）　10:00〜20:00
無休",080-5332-0651,True,True,メールアドレスなしで受検可能
渋谷二丁目PCR検査場,渋谷区,渋谷区渋谷2丁目10-15 NV I Bldg. 1F,"月〜日（祝含む）　8:00〜20:00
無休",03-6427-7025,True,True,メールアドレスなしで受検可能
ライフバランス薬局,墨田区,墨田区太平三丁目1番1号,"月〜木　9:00〜20:00
金　9:00〜19:00
土　9:00〜18:00
祝　9:00〜17:00
日　休み
※不定休（事前に対応可能か要連絡）",03-6240-4303,True,True,メールアドレスなしで受検可能
桜木薬局,台東区,台東区上野桜木1丁目11番13号,"月水木金土　9:00〜18:00
火　9:00〜19:00
日祝　休み",03-3822-1027,False,True,メールアドレスなしで受検可能
ミスト薬局,杉並区,杉並区梅里1-7-14,"月〜金　13:00〜15:00/19:30〜20:30
土　17:00〜18:00
日祝　休み",03-3317-5828,False,True,
とまと薬局西日暮里店,荒川区,荒川区西日暮里6丁目54番11号102号室,"月〜金　9:30〜19:00
土　9:00〜18:00
日祝　休み",03-6807-7275,False,True,メールアドレスなしで受検可能
クオール薬局ちどり店,大田区,大田区千鳥2-39-6,"月火　13:00〜14:00
水〜日（祝含む）　休み",03-3757-3989,False,True,"【お問い合わせ対応時間】
月〜金　9:00〜18:00
土　9:00〜14:00
※受検される場合は、あらかじめ下記番号からご連絡ください（原則電話予約制）
03-3757-3989
メールアドレスなしで受検可能"
ｸｵｰﾙ薬局初台店,渋谷区,渋谷区初台一丁目51番5号アクス初台101,"木　9:30〜10:30
月火水金土日祝　休み",03-3370-3714,False,True,メールアドレスなしで受検可能
クオール薬局　王子店,北区,北区王子1-5-2テング第一ビル,"月〜金　13:30〜14:30
土日祝　休み",03-5902-9089,False,True,メールアドレスなしで受検可能
ファーミック薬局 南街店,東大和市,東大和市南街５−９６−１　レイズテラス１Ｆ,"月〜金　8:30〜18:30
土　8:30〜13:00
日祝　休み",042-843-6917,False,True,メールアドレスなしで受検可能
クオール薬局南烏山店,世田谷区,世田谷区南烏山2-9-17,"火木　14:00〜15:00
月水金土日祝　休み",03-6382-9889,False,True,メールアドレスなしで受検可能
おうめ薬局,青梅市,青梅市西分町2-54-3-1,"月火水金　9:00〜18:00
木・土（第1/2/4）　9:00〜13:00
土（第3/5）日祝　休み",0428-25-8707,True,True,メールアドレスなしで受検可能
ケンポドー・ファーマシー,世田谷区,世田谷区経堂2-16-15,"月〜金　9:00〜19:00
土　9:00〜18:00
日祝　休み",03-3428-7066,False,True,"受検の際は電話番号に問い合わせの上ご来店ください
メールアドレスなしで受検可能
オンライン方式の対応も可能"
ケンポドー三番館薬局,世田谷区,世田谷区宮坂3-9-4アルカディア経堂109,"月〜金　9:00〜19:00
土　9:00〜15:00
日祝　休み",03-3439-4193,False,True,"受検の際は電話番号に問い合わせの上ご来店ください
メールアドレスなしで受検可能
オンライン方式の対応も可能"
ケンポドー薬局五番館,世田谷区,世田谷区経堂1-6-15　REGARO経堂A,"月〜金　9:00〜19:00
土　9:00〜13:00
日祝　休み",03-3706-7767,False,True,"受検の際は電話番号に問い合わせの上ご来店ください
メールアドレスなしで受検可能
オンライン方式の対応も可能"
ケンポドー薬局城山通り店,世田谷区,世田谷区経堂1-4-9,"月水　9:00〜20:00
火木金　9:00〜19:00
土　9:00〜16:00
日祝　休み",03-5426-1193,False,True,"受検の際は電話番号に問い合わせの上ご来店ください
メールアドレスなしで受検可能
オンライン方式の対応も可能"
ケンポドー薬局恵泉通り店,世田谷区,世田谷区宮坂3-45-2,"月火水金　9:00〜18:00
土　9:00〜13:00
木日祝　休み",03-5477-8193,False,True,"受検の際は電話番号に問い合わせの上ご来店ください
メールアドレスなしで受検可能
オンライン方式の対応も可能"
ケンポドー薬局豪徳寺店,世田谷区,世田谷区宮坂2-26-5,"火水木　11:00〜14:30/15:30〜19:00
金土　9:00〜19:00
月日祝　休み",03-5426-4193,False,True,"受検の際は電話番号に問い合わせの上ご来店ください
メールアドレスなしで受検可能
オンライン方式の対応も可能"
アビック薬局　立川錦町店,立川市,立川市錦町1-20-12,"月〜金　10:00〜17:30
土　10:00〜13:00
日祝　休み",042-595-6951,False,True,"メールアドレスなしで受検可能
オンライン方式の対応も可能"
松の木薬局,立川市,立川市錦町3-1-31 ルネス錦町1階,"月火水金　10:00〜17:30
木　10:00〜18:00
土　10:00〜13:00
日祝　休み",042-548-8210,False,True,"メールアドレスなしで受検可能
オンライン方式の対応も可能"
アビック薬局　小平店,小平市,小平市花小金井8-1-5,"月〜金　10:00〜18:00
土　10:00〜12:00
日祝　休み",042-460-0777,False,True,"メールアドレスなしで受検可能
オンライン方式の対応も可能"
アビック薬局　清瀬の森店,清瀬市,清瀬市竹丘1-17-46,"月〜金　10:00〜18:00
土　10:00〜12:00
日祝　休み",042-496-7410,False,True,"メールアドレスなしで受検可能
オンライン方式の対応も可能"
アビック薬局　清瀬元町店,清瀬市,清瀬市元町1-4-26 清瀬パークホームズ1階101,"月〜金　10:00〜18:00
土　10:00〜13:00
日祝　休み",042-497-9670,False,True,"メールアドレスなしで受検可能
オンライン方式の対応も可能"
アビック薬局,東久留米市,東久留米市幸町4-2-1 ストリーム90 1階,"月火水金　10:00〜18:00
木　10:00〜17:00
土　10:00〜13:00
日祝　休み",042-477-0777,False,True,"メールアドレスなしで受検可能
オンライン方式の対応も可能"
アビック薬局　新川町店,東久留米市,東久留米市新川町1-3-35 K　BLDG　1階,"月〜金　10:00〜18:00
土　10:00〜13:00
日祝　休み",042-420-7850,False,True,"メールアドレスなしで受検可能
オンライン方式の対応も可能"
アビック薬局　本町店,東久留米市,東久留米市本町3-1-1 マロニエヒルズ1階,"月〜金　10:00〜18:00
土　10:00〜13:00
日祝　休み",042-472-2233,False,True,"メールアドレスなしで受検可能
オンライン方式の対応も可能"
アビック薬局　保谷店,西東京市,西東京市下保谷4-13-23,"月〜金　10:00〜18:00
土　10:00〜13:00
日祝　休み",042-423-5757,False,True,"メールアドレスなしで受検可能
オンライン方式の対応も可能"
クオール薬局成瀬台店,町田市,町田市成瀬台3-8-5,"月　9:00〜10:00
火〜日（祝含む）　休み",042-725-4456,False,True,メールアドレスなしで受検可能
フラワー薬局　保谷駅南口店,西東京市,西東京市東町3-14-24　保谷駅南口メディカルモール1階,"月〜金　14:00〜15:00
土日祝　休み",042-439-8676,False,True,メールアドレスなしで受検可能
クオール薬局幡ヶ谷店,渋谷区,渋谷区幡ヶ谷2丁目18-17 Jewelry parts hatagaya 1階,"金  13:00〜14:30
月火水木土日祝　休み",03-3320-5751,False,True,メールアドレスなしで受検可能
アビック薬局　国分寺南町店,国分寺市,国分寺市南町3-1-28　飛べない飛行船B1階,"月火水金　10:00〜18:00
木　10:00〜17:00
土　10:00〜13:00
日祝　休み",042-322-2039,False,True,"メールアドレスなしで受検可能
オンライン方式の対応も可能"
陽だまり薬局,世田谷区,世田谷区船橋１−４４−５ 盛徳ビル１階,"木　15:00〜17:00
月火水金土日祝　休み",03-5856-4193,False,True,メールアドレスなしで受検可能
クオール薬局押上店,墨田区,墨田区文花1-17-17　福島ビル1階,"月　15:00〜16:00
木　14:00〜16:00
火水金土日祝　休み",03-5247-1351,False,True,メールアドレスなしで受検可能
つくし薬局,練馬区,練馬区豊玉北５−３−１７,"木　15:30〜16:00
月火水金土日祝　休み",03-5946-4189,False,True,メールアドレスなしで受検可能
お茶の水調剤薬局本店,千代田区,千代田区神田駿河台２丁目２番地５ 井口ビル1階,"金　15:00〜17:00
月火水木土日　休み",03-3295-8641,False,True,※メールアドレスなしで受検可能
フラワー薬局　練馬駅前店,練馬区,練馬区豊玉北5-17-22 TSAビル1階,"月〜金　14:00〜15:00
土日祝　休み",03-6914-6971,False,True,メールアドレスなしで受検可能
クオール薬局　高島平店,板橋区,板橋区高島平八丁目15番6-106号メゾン高橋,"月〜土　9:00〜10:00
日祝　休み",03-5922-1388,False,True,メールアドレスなしで受検可能
医療法人社団慶洋会ケイアイクリニック,新宿区,新宿区四谷1-20-23ケイアイメディカルビル1階,"月〜金　9:00〜12:30/14:00〜17:45
土　9:00〜12:30
日祝　休み",03-5269-2111,True,True,上記番号に直接お問い合わせください
うずらやま薬局,豊島区,豊島区目白2-5-27　目白邸苑１階,"月〜金　10:00〜13:00/16:00〜17:00
土　15:00〜17:00
日祝　休み",03-5391-8800,False,True,※メールアドレスなしで受検可能
きらり薬局　門前仲町店,江東区,江東区門前仲町２丁目１１−９あしたばビル １階,"月火水金　10:00〜19:00
木　10:00〜18:00
土　10:00〜13:00
日祝　休み",03-6383-1066,False,True,※メールアドレスなしで受検可能
クオール薬局古川橋店,港区,港区南麻布2-10-19　ﾎﾞﾇｰﾙ南麻布101,"木金　13:00〜17:00
月火水土日祝　休み",03-3798-4789,False,True,メールアドレスなしで受検可能
フラワー薬局東小金井駅前店,小金井市,小金井市梶野町5-3-6東小金井フラワーメディカルモール102号,"月〜金　14:00〜15:00
土日祝　休み",042-316-3347,False,True,メールアドレスなしで受検可能
クオール薬局八広店,墨田区,墨田区八広2-1-2,"月〜金　15:30〜17:30
土日祝　休み",03-5631-3189,False,True,メールアドレスなしで受検可能
株式会社市川薬局,大田区,大田区上池台1丁目10番9号,"月〜金　8:00〜8:30/20:00〜20:30
土　18:30〜19:00
日祝　休み",03-3729-2455,True,True,メールアドレスを持っていなくても検査可能
外山薬局　南砂支店,江東区,江東区南砂1-10-2,"月〜金　9:00〜18:00
土　9:00〜13:00
日祝　休み",03-3647-9300,True,True,
クオール薬局滝野川店,北区,北区滝野川6-14-9　東京先端医療モールビル１階,"月〜金　13:00〜15:00
土日　15:00〜17:00
祝　休み",03-5980-2589,False,True,メールアドレスなしで受検可能
医療法人社団　中央白報会　総合クリニック　ドクターランド錦糸町,墨田区,墨田区太平4-1-2　オリナスモール4階,"月〜日（祝含む）　10:00〜13:00/15:00〜17:00
無休",,False,True,メールアドレスなしで受検可能
クオール薬局葛飾高砂店,葛飾区,葛飾区高砂3-27-13,"月〜金　12:00〜14:00
土日祝　休み",03-6657-8889,False,True,メールアドレスなしで受検可能
エンジェル薬局船堀2号店,江戸川区,江戸川区船堀3-5-7トキビル2階,"月〜金　14:00〜16:00
土日祝　休み",03-6808-5195,False,True,メールアドレスなしで受検可能
アイ薬局　神楽坂,新宿区,新宿区神楽坂6-8　松幸ビル2階,"月火木金　9:30〜18:00
水　9:30〜16:00
土　9:30〜13:00
日祝　休み",03-6280-8968,False,True,メールアドレスなしで受検可能
デイジー薬局　北赤羽店,北区,北区赤羽北2丁目２５−８アクトピア北赤羽六番館101号,"月火木金　9:30〜18:00
水　9:30〜16:00
土　9:30〜13:00
日祝　休み",03-6914-3281,False,True,メールアドレスなしで受検可能
デイジー薬局　環八店,北区,北区赤羽北2丁目24ー24バンイードビル102号,"月火木金　9:30〜18:00
水　9:30〜16:00
土　9:30〜13:00
日祝　休み",03-5948-4059,False,True,メールアドレスなしで受検可能
エンジェル薬局一之江店,江戸川区,江戸川区一之江7丁目81番7号KUﾋﾞﾙ1階,"月火水金土　14:00〜15:00
木日祝　休み",,False,True,メールアドレスなしで受検可能
あさひ薬局大井町店,品川区,品川区大井1-52-8ｵｷﾅﾋﾞﾙ101,"月火水金　9:00〜19:00
木　9:30〜19:00
土　9:00〜18:00
日祝　休み",03-5746-2707,True,True,メールアドレスなしで受検可能
経堂わかば薬局,世田谷区,世田谷区経堂5-35-20ｼｬﾙﾑ経堂102,"月〜金　9:00〜19:00
土　9:00〜14:00
日祝　休み",03-5477-0034,True,True,メールアドレスなしで受検可能
高野台薬局,練馬区,練馬区高野台1-8-13,"月〜金　9:00〜18:00
土　9:00〜16:00
日　休み
祝　不定休（直接お問い合わせください）",03-3995-9006,False,True,"営業日も在庫等の電話確認をお願い致します
メールアドレスなしで受検可能"
フラワー薬局　代々木上原店,渋谷区,渋谷区西原3-7-8　フィールド代々木上原1階,"月〜金　14:00〜15:00
土日祝　休み",03-5452-0973,False,True,メールアドレスなしで受検可能
外山薬局,江東区,江東区北砂2−1−20,"月〜金　9:00〜18:00
土　9:00〜17:00
日祝　休み",03-3644-6457,True,True,メールアドレスなしで受検可能
南大塚無料検査場,豊島区,豊島区南大塚3-32-10　今井ビル2階,"月〜日（祝含む）　11:00~20:00
無休",,False,True,
狛江無料検査場,狛江市,狛江市駒井町1-5-1,"月〜日（祝含む）　9:00~20:00
無休",,False,True,
クオール薬局駒沢店,世田谷区,世田谷区駒沢二丁目2番17号,"月水　15:00〜16:00
火木金土日祝　休み",03-3419-5489,False,True,メールアドレスなしで受検可能
たがら薬局光が丘店,練馬区,練馬区田柄五丁目27番11号ハートビル地下1階,"火木　19:00〜20:00
月水金土日祝　休み",03-3970-4855,False,True,メールアドレスなしで受検可能
